fill_rate_0to12h,fill_rate_12to24h,fill_rate_24to36h,fill_rate_36to48h,fill_rate_48to60h,fill_rate_60to72h,quarter,dept,subj_course_id,start_time,end_time,final_waitlist_count,total_seats,final_waitlist_ratio,fill_rate_0to72h
0.08,0.0,0.08,0.0,0.17,0.0,Sp23,math,MATH 184,2023-02-18 08:00:00,2023-04-03 06:00:00,1.0,140.0,0.0071428571428571,0.33
0.0,0.0,0.0,0.08,0.08,0.0,Sp23,math,MATH 179,2023-02-18 08:00:00,2023-04-03 06:00:00,0.0,25.0,0.0,0.16
2.17,1.08,0.67,0.17,4.75,1.17,Sp23,math,MATH 187A,2023-02-18 08:00:00,2023-04-03 06:00:00,30.0,194.0,0.1546391752577319,10.01
1.42,0.33,0.0,0.0,1.0,0.33,Sp23,math,MATH 183,2023-02-18 08:00:00,2023-04-03 06:00:00,22.0,270.0,0.0814814814814814,3.08
1.42,0.17,0.17,0.0,0.92,0.42,Sp23,math,MATH 154,2023-02-18 08:00:00,2023-04-03 06:00:00,70.0,192.0,0.3645833333333333,3.0999999999999996
0.0,0.0,0.0,0.0,0.25,0.0,Sp23,math,MATH 104B,2023-02-18 08:00:00,2023-04-03 06:00:00,0.0,30.0,0.0,0.25
0.25,0.0,0.0,0.0,0.08,0.0,Sp23,math,MATH 3C,2023-02-18 08:00:00,2023-04-03 06:00:00,2.0,179.0,0.0111731843575419,0.33
2.92,0.08,0.08,0.25,0.58,0.08,Sp23,math,MATH 20C,2023-02-18 08:00:00,2023-04-03 06:00:00,4.0,679.0,0.0058910162002945,3.99
1.42,0.33,0.33,0.0,1.67,0.58,Sp23,math,MATH 11,2023-02-18 08:00:00,2023-04-03 06:00:00,43.0,444.0,0.0968468468468468,4.33
2.08,0.0,0.08,0.08,0.08,0.0,Sp23,math,MATH 20B,2023-02-18 08:00:00,2023-04-03 06:00:00,14.0,462.0,0.0303030303030303,2.3200000000000003
0.17,0.08,0.08,0.0,0.5,0.0,Sp23,math,MATH 170A,2023-02-18 08:00:00,2023-04-03 06:00:00,7.0,144.0,0.0486111111111111,0.8300000000000001
0.0,0.0,0.0,0.0,0.58,0.17,Sp23,math,MATH 170C,2023-02-18 08:00:00,2023-04-03 06:00:00,0.0,70.0,0.0,0.75
0.83,0.0,0.0,0.0,0.0,0.17,Sp23,math,MATH 20A,2023-02-18 08:00:00,2023-04-03 06:00:00,36.0,192.0,0.1875,1.0
0.5,0.17,0.25,-0.08,1.08,0.5,Sp23,math,MATH 170B,2023-02-18 08:00:00,2023-04-03 06:00:00,0.0,128.0,0.0,2.42
0.83,0.33,0.25,0.0,1.17,0.33,Sp23,math,MATH 171B,2023-02-18 08:00:00,2023-04-03 06:00:00,0.0,105.0,0.0,2.91
2.58,0.08,0.17,0.0,0.92,0.0,Sp23,math,MATH 20E,2023-02-18 08:00:00,2023-04-03 06:00:00,30.0,607.0,0.0494233937397034,3.75
2.0,0.33,0.17,0.0,0.33,0.08,Sp23,math,MATH 20D,2023-02-18 08:00:00,2023-04-03 06:00:00,29.0,521.0,0.055662188099808,2.91
2.17,1.0,0.33,0.17,5.42,1.17,Sp23,math,MATH 189,2023-02-18 08:00:00,2023-04-03 06:00:00,82.0,221.0,0.3710407239819004,10.26
0.83,0.0,0.0,0.0,0.0,0.0,Sp23,math,MATH 163,2023-02-18 08:00:00,2023-04-03 06:00:00,27.0,30.0,0.9,0.83
4.17,0.25,0.17,0.08,1.0,0.83,Sp23,math,MATH 10B,2023-02-18 08:00:00,2023-04-03 06:00:00,77.0,790.0,0.0974683544303797,6.5
2.0,0.08,0.0,0.0,0.42,0.42,Sp23,math,MATH 10C,2023-02-18 08:00:00,2023-04-03 06:00:00,4.0,415.0,0.0096385542168674,2.92
0.17,0.08,0.0,0.08,0.33,0.0,Sp23,math,MATH 121B,2023-02-18 08:00:00,2023-04-03 06:00:00,0.0,25.0,0.0,0.66
0.0,0.0,0.0,0.0,0.0,0.0,Sp23,math,MATH 31CH,2023-02-18 08:00:00,2023-04-03 06:00:00,0.0,37.0,0.0,0.0
0.33,0.0,0.0,0.0,0.25,0.08,Sp23,math,MATH 140B,2023-02-18 08:00:00,2023-04-03 06:00:00,0.0,64.0,0.0,0.66
2.25,0.17,0.17,0.0,0.42,-0.08,Sp23,math,MATH 10A,2023-02-18 08:00:00,2023-04-03 06:00:00,20.0,360.0,0.0555555555555555,2.9299999999999997
0.08,0.17,0.0,0.0,0.42,0.0,Sp23,math,MATH 140C,2023-02-18 08:00:00,2023-04-03 06:00:00,0.0,35.0,0.0,0.6699999999999999
0.17,0.0,0.0,0.08,0.0,0.08,Sp23,math,MATH 100C,2023-02-18 08:00:00,2023-04-03 06:00:00,0.0,50.0,0.0,0.33
0.83,0.33,-0.17,0.0,0.75,0.08,Sp23,math,MATH 102,2023-02-18 08:00:00,2023-04-03 06:00:00,5.0,240.0,0.0208333333333333,1.8199999999999998
0.08,0.17,0.0,0.0,0.58,0.17,Sp23,math,MATH 120B,2023-02-18 08:00:00,2023-04-03 06:00:00,0.0,70.0,0.0,1.0
0.33,0.33,0.08,0.0,1.08,0.5,Sp23,math,MATH 114,2023-02-18 08:00:00,2023-04-03 06:00:00,6.0,53.0,0.1132075471698113,2.3200000000000003
1.58,0.33,0.42,0.0,4.17,0.58,Sp24,math,MATH 181A,2024-02-17 08:00:00,2024-04-01 06:00:00,64.0,140.0,0.4571428571428571,7.08
0.33,0.25,0.08,0.0,0.33,0.17,Sp24,math,MATH 181B,2024-02-17 08:00:00,2024-04-01 06:00:00,0.0,140.0,0.0,1.16
1.67,0.17,0.08,0.0,1.75,0.17,Sp24,math,MATH 142B,2024-02-17 08:00:00,2024-04-01 06:00:00,4.0,210.0,0.019047619047619,3.84
1.5,0.17,0.17,0.0,2.17,0.67,Sp24,math,MATH 103B,2024-02-17 08:00:00,2024-04-01 06:00:00,5.0,272.0,0.0183823529411764,4.68
0.67,0.08,0.0,0.0,0.42,0.17,Sp24,math,MATH 180C,2024-02-17 08:00:00,2024-04-01 06:00:00,0.0,140.0,0.0,1.3399999999999999
0.42,0.08,0.17,0.0,0.92,0.25,Sp24,math,MATH 180B,2024-02-17 08:00:00,2024-04-01 06:00:00,0.0,142.0,0.0,1.84
0.0,0.0,0.08,0.0,0.25,0.08,Sp24,math,MATH 95,2024-02-17 08:00:00,2024-04-01 06:00:00,1.0,30.0,0.0333333333333333,0.41000000000000003
0.67,0.08,0.17,0.0,0.75,0.5,Sp24,math,MATH 180A,2024-02-17 08:00:00,2024-04-01 06:00:00,2.0,238.0,0.0084033613445378,2.17
1.08,0.17,0.0,0.0,0.58,0.33,Sp24,math,MATH 109,2024-02-17 08:00:00,2024-04-01 06:00:00,12.0,220.0,0.0545454545454545,2.16
1.17,0.08,0.08,0.0,0.17,0.0,Sp24,math,MATH 2,2024-02-17 08:00:00,2024-04-01 06:00:00,27.0,105.0,0.2571428571428571,1.5
0.92,0.33,0.0,0.17,2.25,0.58,Sp24,math,MATH 185,2024-02-17 08:00:00,2024-04-01 06:00:00,1.0,140.0,0.0071428571428571,4.25
1.17,0.5,0.25,0.17,1.25,0.0,Sp24,math,MATH 152,2024-02-17 08:00:00,2024-04-01 06:00:00,32.0,40.0,0.8,3.34
0.75,0.17,0.0,0.08,2.67,0.17,Sp24,math,MATH 187B,2024-02-17 08:00:00,2024-04-01 06:00:00,20.0,70.0,0.2857142857142857,3.84
2.67,0.5,0.33,0.0,1.08,0.0,Sp24,math,MATH 18,2024-02-17 08:00:00,2024-04-01 06:00:00,56.0,744.0,0.075268817204301,4.58
0.5,0.25,0.08,0.0,0.58,0.08,Sp24,math,MATH 184,2024-02-17 08:00:00,2024-04-01 06:00:00,0.0,140.0,0.0,1.49
1.25,1.0,0.25,0.0,6.5,1.08,Sp24,math,MATH 187A,2024-02-17 08:00:00,2024-04-01 06:00:00,38.0,248.0,0.1532258064516129,10.08
0.0,0.0,0.08,0.08,0.25,0.17,Sp24,math,MATH 144,2024-02-17 08:00:00,2024-04-01 06:00:00,0.0,35.0,0.0,0.5800000000000001
1.25,0.08,0.0,0.08,1.17,0.0,Sp24,math,MATH 183,2024-02-17 08:00:00,2024-04-01 06:00:00,9.0,216.0,0.0416666666666666,2.58
1.08,0.25,0.33,-0.08,1.75,0.83,Sp24,math,MATH 154,2024-02-17 08:00:00,2024-04-01 06:00:00,11.0,324.0,0.0339506172839506,4.16
0.0,0.0,0.0,0.0,0.0,0.0,Sp24,math,MATH 112B,2024-02-17 08:00:00,2024-04-01 06:00:00,0.0,27.0,0.0,0.0
